district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Королёв,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cf511ec4fec3.jpg,-1,ЖК «River Park»,5984000,"studio,one_room,two_room,three_room",4350000,9460750,7749900
Химки,22250000,https://st.novostroy.ru/regions/u/b/g/box_orig/534e3c539c401.jpeg,-1,ЖК «Маяк»,5861000,"one_room,two_room,four_room",-1,-1,8143000
Кузьминки,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f7dde6ca526f.jpg,-1,ЖК «balance»,-1,"two_room,three_room",-1,22262000,14535000
Черёмушки,28485000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62177c70441a1.jpg,-1,МФК «Nametkin Tower»,10312000,"studio,one_room,two_room,three_room,four_room",8449000,16790000,13501000
Десёновское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/51d2d91433938.jpg,-1,МЖК «Новые Ватутинки» (Южный квартал),6700000,"studio,one_room,two_room,three_room",6300000,11500000,9500000
Очаково-Матвеевское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/636b5e7358b3a.jpg,-1,ЖК «Новое Очаково»,8168000,"studio,one_room,two_room,three_room",5942000,14592000,10288000
Дмитровский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/622f1d8a14d31.jpg,52915500,Апарт-отель «ФизтехСити»,-1,"studio,two_room,multiroom",6129500,-1,8685100
Наро-Фоминский,13169700,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ce4014cbf081.jpg,-1,ЖК «VESNA»,5713600,"studio,one_room,two_room,three_room,four_room",4887200,8798700,6988100
Хорошёвский,80919300,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5dfc973ca2236.jpg,133910000,ЖК «Prime Park»,25750000,"one_room,two_room,three_room,four_room,multiroom",-1,39410000,27250000
Химки,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c3da78a0088d.jpg,-1,ЖК Миниполис «Рафинад»,7282000,"one_room,two_room,three_room",-1,9413000,8309000
Черёмушки,50058000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/600009d6de004.jpg,52896000,МФК «AFI Park Воронцовский»,16981000,"studio,one_room,two_room,three_room,four_room,multiroom",12892000,27108000,16107000
Раменки,60371000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f634f669dd25.jpg,-1,ЖК «Настоящее»,23309000,"studio,one_room,two_room,three_room,four_room",20959000,44422000,32003000
Дмитровский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6357e4a2ec3ed.jpg,-1,ЖК «Дмитровский парк»,10320000,"studio,one_room,two_room,three_room",6918000,15232000,13676000
Котельники,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360d054b1f6c.jpg,-1,ЖК «Белая Дача парк»,5700000,"studio,one_room,two_room,three_room",4372000,7685000,5708000
Крюково,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6357e68a76a22.jpg,-1,ЖК «Зеленый парк»,5859000,"studio,one_room,two_room,three_room",4432000,12669000,8315000
Очаково-Матвеевское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360cd4736e73.jpg,-1,ЖК «Мичуринский парк»,8908000,"studio,one_room,two_room,three_room",6526000,15927000,9232000
Люберецкий,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61a4c21f16d93.jpg,-1,ЖК «Квартал Некрасовка»,9968000,"studio,one_room,two_room,three_room",9578000,16020000,12790000
Московский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/58f0dd3ba4ccc.jpg,-1,ЖК «Лучи»,12333000,"studio,one_room,two_room,three_room",8327000,24056000,16902000
